"League","Name","Team","Position","GamesPlayed","TotalMinutesPlayed","FieldGoalsMade","FieldGoalsAttempted","ThreesMade","ThreesAttempted","FreeThrowsMade","FreeThrowsAttempted","OffensiveRebounds","TotalRebounds","Assists","Steals","Turnovers","Blocks","PersonalFouls","Disqualifications","TotalPoints","Technicals","Ejections","FlagrantFouls","GamesStarted"
"NBA","Brian Cook","HOU","PF",14,45,7,23,2,9,5,7,1,9,1,0,6,2,5,0,21,0,0,0,0
"NBA","Daequan Cook","MIA","SG",45,691,81,253,40,126,21,25,9,82,43,14,24,10,50,0,223,0,0,0,4
"NBA","Jamal Crawford","ATL","SG",79,2459,496,1105,163,427,270,315,34,201,238,60,137,12,132,0,1425,2,0,0,0
"NBA","Dante Cunningham","POR","PF",63,707,106,214,0,2,31,48,54,160,14,24,15,22,97,0,243,0,0,0,2
"NBA","Eddy Curry","NYK","C",7,63,8,21,0,0,10,17,4,13,0,0,13,1,13,0,26,1,0,0,0
"NBA","Stephen Curry","GSW","PG",80,2895,528,1143,166,380,177,200,48,355,472,152,244,19,252,4,1399,0,0,0,77
"NBA","Samuel Dalembert","PHI","C",82,2126,285,523,0,0,97,133,239,783,64,42,123,151,252,5,667,5,0,0,79
"NBA","Erick Dampier","DAL","C",55,1279,133,213,1,3,61,101,128,400,31,15,61,77,153,0,328,2,0,0,47
"NBA","Marquis Daniels","BOS","SG",51,940,124,249,6,28,34,56,27,95,66,28,42,6,91,0,288,0,0,0,4
"NBA","Baron Davis","LAC","PG",75,2522,412,1015,82,296,239,291,52,267,598,126,211,43,210,0,1145,9,0,0,73
"NBA","Glen Davis","BOS","PF",54,929,122,279,0,4,96,138,101,205,35,21,53,14,132,2,340,3,0,0,1
"NBA","Paul Davis","WAS","C",2,8,2,4,0,0,1,2,0,0,3,0,0,1,0,0,5,0,0,0,0
"NBA","Ricky Davis","LAC","SF",36,502,62,143,16,42,18,31,10,57,39,11,29,3,39,0,158,1,0,0,2
"NBA","Austin Daye","DET","SF",69,911,137,295,29,95,46,56,34,174,34,25,48,26,114,1,349,0,0,0,4
"NBA","Carlos Delfino","MIL","SF",75,2284,299,732,134,365,93,119,51,394,202,80,120,21,138,0,825,0,0,0,66
"NBA","Luol Deng","CHI","SF",70,2654,473,1014,32,83,252,330,131,512,143,66,134,62,129,0,1230,1,0,0,69
"NBA","Demar Derozan","TOR","SF",77,1664,255,511,4,16,148,194,66,223,53,43,62,18,176,0,662,0,0,0,65
"NBA","Boris Diaw","CHA","PF",82,2906,373,773,66,206,114,149,131,424,324,60,177,55,219,3,926,1,0,0,82
"NBA","Yakhouba Diawara","MIA","SF",6,44,2,10,1,6,0,0,1,4,3,1,3,0,8,0,5,0,0,0,2
"NBA","Travis Diener","NA","PG",9,50,2,10,1,7,1,4,0,3,8,4,0,0,2,0,6,0,0,0,0
"NBA","Desagana Diop","CHA","C",27,261,15,29,0,0,2,9,24,65,5,5,12,14,31,1,32,0,0,0,0
"NBA","Keyon Dooling","NJN","PG",53,973,129,324,59,157,47,61,8,54,135,34,59,0,82,0,364,0,0,0,8
"NBA","Joey Dorsey","SAC","SG",15,109,9,20,0,0,5,12,16,43,2,3,6,2,21,0,23,0,0,0,0
"NBA","Toney Douglas","NYK","PG",56,1088,179,391,68,175,55,68,40,108,112,42,55,3,116,0,481,0,0,0,12
"NBA","Douglas-roberts","NJN","SG",67,1735,255,573,14,54,133,157,45,198,93,55,97,19,101,0,657,1,0,0,38
"NBA","Goran Dragic","PHO","PG",80,1442,222,491,74,188,117,159,38,171,241,48,126,8,131,0,635,0,0,0,2
"NBA","Jared Dudley","PHO","SF",82,1991,225,490,120,262,104,138,99,281,115,81,68,16,162,1,674,0,0,0,1
"NBA","Chris Duhon","NYK","PG",67,2074,168,451,90,258,68,95,28,178,378,60,110,3,83,0,494,0,0,0,59
"NBA","Tim Duncan","SAN","C",78,2435,561,1082,2,11,271,374,221,787,246,45,140,117,152,1,1395,4,0,0,78
"NBA","Mike Dunleavy","IND","SF",67,1480,229,558,75,236,133,158,25,236,103,38,72,16,105,0,666,0,0,0,15
"NBA","Kevin Durant","OKL","SF",82,3241,794,1668,128,351,756,840,105,623,231,112,271,84,171,1,2472,3,0,0,82
"NBA","Wayne Ellington","MIN","PG",76,1386,190,448,64,162,61,70,33,159,74,20,73,5,72,1,505,0,0,0,1
"NBA","Monta Ellis","GSW","PG",64,2647,631,1406,77,228,292,388,47,257,339,143,243,25,189,2,1631,5,0,0,64
"NBA","Francisco Elson","PHI","C",12,64,5,15,0,0,2,5,6,14,2,1,1,0,7,0,12,0,0,0,0
"NBA","Maurice Evans","ATL","SF",79,1318,175,393,57,169,46,61,59,154,48,34,20,17,125,0,453,2,0,0,5
"NBA","Reggie Evans","TOR","PF",28,309,34,69,0,0,27,60,30,105,8,14,22,4,44,0,95,2,0,0,1
"NBA","Tyreke Evans","SAC","PG",72,2681,533,1165,36,141,348,465,66,380,412,109,216,25,204,2,1450,4,0,0,72
"NBA","Jordan Farmar","LAL","PG",82,1473,224,515,86,229,57,85,14,131,127,52,72,11,109,0,591,1,0,0,0
"NBA","Raymond Felton","CHA","PG",80,2644,388,846,60,156,132,173,53,289,446,123,168,22,172,1,968,2,0,0,80
"NBA","Rudy Fernandez","POR","SG",62,1446,160,423,98,266,85,98,35,164,126,62,72,11,87,0,503,2,0,0,2
"NBA","Kyrylo Fesenko","UTA","C",49,409,52,95,0,1,24,57,33,90,15,6,24,19,78,1,128,0,0,0,5
"NBA","Michael Finley","BOS","SF",46,707,81,184,32,82,8,15,6,71,43,10,21,6,33,0,202,0,0,0,7
"NBA","Derek Fisher","LAL","PG",82,2226,212,558,78,224,113,132,25,170,201,89,78,9,202,1,615,5,0,0,82
"NBA","Jonny Flynn","MIN","PG",81,2340,397,952,77,215,223,270,24,191,356,82,232,2,98,0,1094,1,0,0,81
"NBA","T.j. Ford","IND","PG",47,1188,186,418,8,50,104,135,41,149,180,44,90,10,102,1,484,3,0,0,32
"NBA","Jeff Foster","IND","C",16,253,22,46,0,1,5,9,34,81,21,3,14,4,45,0,49,0,0,0,3
"NBA","Randy Foye","WAS","PG",70,1668,256,619,63,182,129,145,16,130,228,33,94,10,123,0,704,0,0,0,38
"NBA","Channing Frye","PHO","C",81,2192,317,703,172,392,98,121,66,427,113,64,73,74,263,3,904,5,0,0,41
"NBA","Dan Gadzuric","MIL","C",32,314,39,88,0,0,10,25,38,92,12,9,15,13,63,0,88,0,0,0,6
"NBA","Sundiata Gaines","UTA","PG",32,218,38,82,7,26,23,46,6,29,39,12,14,0,17,0,106,0,0,0,0
"NBA","Danilo Gallinari","NYK","SF",81,2748,392,927,186,488,251,307,65,398,135,74,110,58,191,1,1221,0,0,0,74
"NBA","Francisco Garcia","SAC","SG",25,574,82,176,23,59,15,17,11,66,45,10,21,19,49,0,202,0,0,0,4
"NBA","Kevin Garnett","BOS","PF",69,2061,402,772,1,5,185,221,78,506,185,68,101,57,170,1,990,6,0,0,69
"NBA","Marc Gasol","MEM","C",69,2468,378,651,0,1,252,376,208,640,165,69,135,109,254,3,1008,2,0,0,69
"NBA","Pau Gasol","LAL","PF",65,2403,452,844,0,5,286,362,243,734,218,36,143,113,152,0,1190,5,0,0,65
"NBA","Rudy Gay","MEM","SF",80,3176,600,1288,66,202,301,400,115,472,153,118,169,64,201,0,1567,3,0,0,80
"NBA","Alonzo Gee","WAS","SG",11,182,28,59,7,9,18,29,15,33,7,7,10,1,13,0,81,0,0,0,2
"NBA","Devean George","GSW","SF",45,761,89,206,48,123,16,23,21,114,32,41,15,10,89,1,242,0,0,0,4
"NBA","Daniel Gibson","CLE","PG",56,1076,125,268,71,149,34,49,13,73,70,25,36,7,79,0,355,0,0,0,10
"NBA","Taj Gibson","CHI","SF",82,2203,311,628,0,0,113,175,226,611,70,50,113,102,282,9,735,3,0,0,70
"NBA","J.r. Giddens","NYK","SF",32,242,28,60,0,10,13,23,16,51,13,9,17,2,29,0,69,0,0,0,1
"NBA","Trey Gilder","MEM","SF",2,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0
"NBA","Manu Ginobili","SAN","SG",75,2150,398,903,132,350,309,355,68,284,370,102,154,24,154,0,1237,2,0,0,21
"NBA","Ryan Gomes","MIN","SF",76,2209,327,732,74,199,104,126,76,348,124,61,96,16,155,0,832,0,0,0,64
"NBA","Drew Gooden","LAC","C",70,1755,288,602,1,8,186,216,207,542,47,41,108,58,194,4,763,1,0,0,33
"NBA","Ben Gordon","DET","SG",62,1726,291,699,75,234,198,230,26,119,166,49,118,6,147,1,855,4,0,0,17
"NBA","Eric Gordon","LAC","SG",62,2231,352,784,119,321,222,299,25,160,186,70,144,14,96,0,1045,0,0,0,60
"NBA","Marcin Gortat","ORL","C",81,1090,121,227,0,3,51,75,104,341,17,17,46,70,138,1,293,0,0,0,0
"NBA","Joey Graham","DEN","SG",62,764,105,202,2,13,54,73,39,123,22,23,43,7,104,0,266,0,0,0,18
"NBA","Stephen Graham","CHA","SF",69,806,119,240,16,50,42,65,24,135,23,20,37,10,94,0,296,1,0,0,8
"NBA","Danny Granger","IND","SF",62,2277,488,1139,158,438,363,428,67,342,171,94,157,51,183,3,1497,4,0,0,62
"NBA","Aaron Gray","NOR","C",32,307,42,82,0,0,20,28,45,106,22,9,18,11,54,0,104,0,0,0,0
"NBA","Daniel Green","CLE","SG",20,116,15,39,6,22,4,6,8,17,5,6,5,3,9,0,40,0,0,0,0
"NBA","Jeff Green","OKL","SF",82,3038,485,1069,104,312,165,223,112,490,134,104,135,72,221,3,1239,1,0,0,82
"NBA","Willie Green","PHI","SG",73,1553,248,543,47,136,95,114,20,129,151,32,67,11,135,0,638,0,0,0,18
"NBA","Donte Greene","SAC","SF",76,1628,244,552,69,183,90,140,53,234,71,40,93,54,150,2,647,2,0,0,50
"NBA","Taylor Griffin","PHO","SF",8,33,4,10,0,2,2,4,0,2,1,0,1,2,4,0,10,0,0,0,0
"NBA","Hamed Haddadi","MEM","C",36,244,24,62,0,3,14,19,26,75,10,1,20,14,57,0,62,0,0,0,0
"NBA","Malik Hairston","SAN","SG",47,317,40,76,2,11,17,30,13,49,16,4,11,9,29,0,99,0,0,0,0
"NBA","Marcus Haislip","SAN","PF",10,42,10,21,3,5,2,5,4,10,0,0,3,2,5,0,25,0,0,0,0
"NBA","Richard Hamilton","DET","SG",46,1551,293,717,41,138,204,241,30,122,202,30,116,3,115,0,831,10,0,0,46
"NBA","Tyler Hansbrough","IND","PF",29,510,81,225,0,4,84,113,60,138,28,17,21,8,70,0,246,1,0,0,1
"NBA","James Harden","OKL","SG",76,1736,233,578,93,248,194,240,47,244,138,80,106,20,200,1,753,0,0,0,0
"NBA","Al Harrington","NYK","PF",72,2192,448,1030,140,409,240,317,88,405,110,62,132,25,209,1,1276,3,0,0,15
"NBA","Devin Harris","NJN","PG",64,2219,356,884,60,217,308,386,24,203,423,78,181,18,178,0,1080,2,0,0,61
"NBA","Mike Harris","WAS","SF",13,94,11,30,0,1,7,11,10,24,3,5,9,1,14,0,29,0,0,0,0
"NBA","Jason Hart","NOR","PG",5,23,1,2,0,0,0,0,0,2,6,2,3,1,4,0,2,0,0,0,0
"NBA","Udonis Haslem","MIA","PF",78,2183,312,632,0,0,147,193,167,629,52,30,75,23,174,0,771,0,0,0,0
"NBA","Trenton Hassell","NJN","SF",52,1109,90,218,0,5,52,69,55,151,50,17,47,9,91,0,232,0,0,0,31
"NBA","Spencer Hawes","SAC","C",72,1900,312,666,26,87,73,106,145,436,158,33,131,82,200,1,723,4,0,0,59
"NBA","Chuck Hayes","HOU","C",82,1776,161,329,0,0,36,66,151,465,139,73,74,43,219,3,358,0,0,0,82
"NBA","Jarvis Hayes","NJN","SF",45,1032,138,328,60,179,14,18,9,108,40,29,28,9,91,0,350,0,0,0,19
"NBA","Brendan Haywood","DAL","C",77,2355,276,491,0,1,152,245,278,715,43,26,99,158,209,2,704,1,0,0,67
"NBA","Luther Head","IND","PG",47,815,136,311,37,105,48,58,6,80,72,18,55,9,53,0,357,1,0,0,10
"NBA","Gerald Henderson","CHA","SG",43,358,37,104,4,19,35,47,15,55,13,10,14,9,25,0,113,0,0,0,0
"NBA","Roy Hibbert","IND","C",81,2034,387,782,3,6,169,224,177,464,158,30,145,131,285,5,946,3,0,0,69
"NBA","J.j. Hickson","CLE","PF",81,1691,289,522,0,1,111,163,110,400,40,36,92,39,132,1,689,1,0,0,73
"NBA","Nene Hilario","DEN","C",82,2759,421,717,0,2,293,416,166,627,203,115,125,82,281,7,1135,2,0,0,82
"NBA","George Hill","SAN","PG",78,2276,353,738,75,188,183,237,42,205,226,69,101,25,222,4,964,1,0,0,43
"NBA","Grant Hill","PHO","SF",81,2427,336,703,35,80,205,251,74,445,193,60,108,36,165,2,912,2,0,0,81
"NBA","Jordan Hill","HOU","PF",47,623,99,201,0,2,46,68,76,175,20,14,30,21,92,0,244,0,0,0,0
"NBA","Kirk Hinrich","CHI","PG",74,2479,308,753,104,280,85,113,24,261,330,85,115,23,204,1,805,8,0,0,53
"NBA","Jrue Holiday","PHI","PG",73,1772,230,519,62,159,65,86,55,190,280,79,155,18,153,0,587,0,0,0,51
"NBA","Ryan Hollins","MIN","C",73,1225,169,303,0,1,109,158,79,208,51,19,95,38,199,3,447,4,0,0,27
"NBA","Al Horford","ATL","C",81,2845,467,847,1,1,213,270,236,799,189,59,122,91,225,1,1148,2,0,0,81
"NBA","Eddie House","NYK","PG",68,1217,173,455,79,227,48,52,13,109,85,40,47,7,81,0,473,1,0,0,0
"NBA","Dwight Howard","ORL","C",82,2843,510,834,0,7,483,816,284,1081,144,75,274,227,287,4,1503,17,0,0,82
"NBA","Josh Howard","WAS","SF",35,913,157,388,23,86,109,139,30,125,48,26,46,11,91,0,446,3,0,0,12
"NBA","Juwan Howard","POR","PF",73,1633,191,375,0,1,55,70,108,335,61,27,72,10,191,1,437,4,0,0,27
"NBA","Lester Hudson","MEM","PG",25,134,21,53,5,16,11,13,7,17,13,8,14,3,12,0,58,0,0,0,0
"NBA","Larry Hughes","CHA","SG",45,1110,137,386,43,139,94,113,23,142,137,52,75,15,70,0,411,0,0,0,16
"NBA","Kris Humphries","NJN","SF",69,1223,180,408,0,1,127,190,120,378,32,36,66,48,145,0,487,0,0,0,0
"NBA","Chris Hunter","GSW","C",60,782,109,217,0,4,52,69,56,167,37,13,30,35,132,3,270,0,0,0,9
"NBA","Lindsey Hunter","CHI","SG",13,122,5,30,1,13,2,2,1,14,9,1,4,0,12,0,13,0,0,0,0
"NBA","Othello Hunter","ATL","SF",7,34,4,12,0,0,3,4,6,12,0,0,3,1,5,0,11,0,0,0,0
"NBA","Steven Hunter","MEM","PF",21,159,17,43,0,0,19,36,18,42,0,1,9,10,10,0,53,1,0,0,0
"NBA","Serge Ibaka","OKL","C",73,1320,201,370,1,2,58,92,138,397,10,25,68,97,194,3,461,3,0,0,0
"NBA","Andre Iguodala","PHI","SG",82,3188,496,1120,94,304,315,430,82,529,472,141,218,55,145,0,1401,2,0,0,82
"NBA","Zydrun Ilgauskas","CLE","C",64,1337,194,438,11,23,75,101,115,346,48,14,64,50,183,1,474,4,0,0,6
"NBA","Ersan Ilyasova","MIL","PF",81,1896,323,729,81,241,113,158,157,517,84,53,71,23,251,3,840,0,0,0,31
"NBA","Allen Iverson","PHI","PG",28,864,136,316,9,25,104,131,16,79,113,19,64,2,48,0,385,1,0,0,24
"NBA","Royal Ivey","MIL","PG",44,332,35,83,14,35,9,12,6,34,27,18,11,2,39,0,93,0,0,0,0
"NBA","Jarrett Jack","TOR","PG",82,2244,323,671,82,199,203,241,30,222,413,60,163,6,151,0,931,1,0,0,43
